PDB ID,Chain ID,High Resolution Limit,CATH ID [Res Range],Entity ID,Chain Length,Molecular Weight
"2GH0","C","1.92","2.10.90.10 [120-219]","1","101","10957.60"
"2GH0","B","1.92","","2","213","23778.60"
"2GHT","B","1.80","3.40.50.1000 [77-256]","1","181","20876.80"
"2GHT","A","1.80","3.40.50.1000 [77-256]","1","181","20876.80"
"2GIA","A","1.89","","1","195","21914.40"
"2GIA","G","1.89","","1","195","21914.40"
"2GIA","D","1.89","","2","187","21192.80"
"2GIA","B","1.89","","2","187","21192.80"
"2GL9","D","2.00","3.60.20.30 [452-595]","2","144","15380.60"
"2GL9","C","2.00","","1","151","16819.10"
"2GL9","B","2.00","3.60.20.30 [152-295]","2","144","15380.60"
"2GL9","A","2.00","","1","151","16819.10"
"2GPO","A","1.95","1.10.565.10 [235-458]","1","230","26084.40"
"2GRO","B","1.70","1.25.40.200 [431-587]","2","170","18459.30"
"2GRO","A","1.70","3.10.110.10 [1-157]","1","161","18327.10"
"2GSM","D","2.00","1.10.287.90 [35-130], 2.60.40.420 [131-283]","2","262","29365.40"
"2GSM","B","2.00","2.60.40.420 [131-283], 1.10.287.90 [35-130]","2","262","29365.40"
"2GUZ","K","2.00","1.10.287.110 [98-168]","1","71","7982.39"
"2GUZ","N","2.00","1.10.287.110 [53-117]","2","65","7760.79"
"2GUZ","A","2.00","1.10.287.110 [98-168]","1","71","7982.39"
"2GUZ","D","2.00","1.10.287.110 [53-117]","2","65","7760.79"
"2GUZ","G","2.00","1.10.287.110 [98-168]","1","71","7982.39"
"2GUZ","J","2.00","1.10.287.110 [53-117]","2","65","7760.79"
"2GUZ","M","2.00","1.10.287.110 [98-168]","1","71","7982.39"
"2GUZ","P","2.00","1.10.287.110 [53-117]","2","65","7760.79"
"2GUZ","C","2.00","1.10.287.110 [98-168]","1","71","7982.39"
"2GUZ","F","2.00","1.10.287.110 [53-117]","2","65","7760.79"
"2GUZ","I","2.00","1.10.287.110 [98-168]","1","71","7982.39"
"2GUZ","L","2.00","1.10.287.110 [53-117]","2","65","7760.79"
"2GUZ","O","2.00","1.10.287.110 [98-168]","1","71","7982.39"
"2GUZ","B","2.00","1.10.287.110 [53-117]","2","65","7760.79"
"2GUZ","E","2.00","1.10.287.110 [98-168]","1","71","7982.39"
"2GUZ","H","2.00","1.10.287.110 [53-117]","2","65","7760.79"
"2GW4","A","1.60","","1","63","6894.06"
"2GW4","D","1.60","2.40.155.10 [65-220]","2","164","18967.60"
"2GW4","C","1.60","","1","63","6894.06"
"2GW4","B","1.60","2.40.155.10 [65-220]","2","164","18967.60"
"2H1C","A","1.80","3.40.50.1010 [1-139]","1","139","15321.70"
"2H62","D","1.85","2.10.60.10 [6-98]","3","98","11551.70"
"2H7Z","A","1.50","2.10.60.10 [1-75]","1","75","8406.54"
"2H88","O","1.74","1.10.1060.10 [115-246], 3.10.20.30 [8-114]","2","252","28685.20"
"2H88","D","1.74","1.20.1300.10 [3-103]","4","103","10971.60"
"2H88","Q","1.74","1.20.1300.10 [3-103]","4","103","10971.60"
"2H88","C","1.74","1.20.1300.10 [33-140], 1.20.5.540 [2-32]","3","140","15392.10"
"2H88","P","1.74","1.20.5.540 [2-32], 1.20.1300.10 [33-140]","3","140","15392.10"
"2H88","B","1.74","3.10.20.30 [8-114], 1.10.1060.10 [115-246]","2","252","28685.20"
"2HEY","F","2.00","","1","152","17064.40"
"2HEY","T","2.00","","2","146","15808.80"
"2HEY","R","2.00","","2","146","15808.80"
"2HEY","G","2.00","","1","152","17064.40"
"2HKQ","A","1.86","","1","80","9212.03"
"2HMH","A","2.00","","1","152","17043.00"
"2HPL","A","1.80","","1","100","11198.80"
"2HQH","C","1.80","2.30.30.190 [27-97]","1","93","9928.08"
"2HQH","B","1.80","2.30.30.190 [26-97]","1","93","9928.08"
"2HQH","A","1.80","2.30.30.190 [26-97]","1","93","9928.08"
"2HQH","D","1.80","2.30.30.190 [26-97]","1","93","9928.08"
"2HQS","G","1.50","3.30.1330.60 [67-174]","2","118","13518.10"
"2HQS","E","1.50","3.30.1330.60 [68-174]","2","118","13518.10"
"2HQS","C","1.50","3.30.1330.60 [68-174]","2","118","13518.10"
"2HQS","H","1.50","3.30.1330.60 [67-174]","2","118","13518.10"
"2HT9","B","1.90","3.40.30.10 [14-124]","1","146","16705.00"
"2HT9","A","1.90","3.40.30.10 [12-115]","1","146","16705.00"
"2HUE","C","1.70","1.10.20.10 [20-101]","3","84","9540.25"
"2HUE","B","1.70","1.10.20.10 [60-134]","2","77","8888.46"
"2HV8","D","1.86","","2","64","7127.02"
"2HV8","F","1.86","","2","64","7127.02"
"2HV8","E","1.86","","2","64","7127.02"
"2HY5","A","1.72","3.40.1260.10 [1-130]","1","130","14607.30"
"2HY5","C","1.72","3.40.1260.10 [402-502]","3","102","11094.60"
"2HY5","B","1.72","3.40.1260.10 [205-336]","2","136","15606.40"
"2HZE","A","1.80","3.40.30.10 [-2-107]","1","114","13160.00"
"2I3H","B","1.62","1.10.1170.10 [78-172]","1","133","14977.60"
"2I3H","A","1.62","1.10.1170.10 [78-167]","1","133","14977.60"
"2I6O","A","1.90","3.90.190.10 [1-158]","1","161","18417.10"
"2IAA","C","1.95","2.60.40.420 [2-129]","3","128","13711.40"
"2IFR","A","1.95","","1","206","21553.80"
"2IH3","C","1.72","1.10.287.70 [24-121]","3","122","13028.40"
"2ILN","I","2.00","2.10.69.10 [8-60]","2","62","6940.02"
"2IQ6","A","2.00","3.40.630.10 [1-291]","1","291","31427.30"
"2IUH","A","2.00","3.30.505.10 [4-118]","1","120","13939.60"
"2IUQ","D","1.50","2.60.30.10 [71-179]","2","135","14516.90"
"2IUQ","H","1.50","2.60.30.10 [61-179]","2","135","14516.90"
"2IVF","C","1.88","","3","214","23093.60"
"2IWB","A","1.80","3.40.710.10 [340-585]","1","246","29250.40"
"2J12","B","1.50","2.60.40.10 [19-138]","2","128","14251.20"
"2J12","A","1.50","2.60.90.10 [184-365]","1","194","21716.50"
"2J5I","A","1.80","3.90.226.10 [3-211]","1","276","31012.60"
"2J7P","E","1.97","1.20.120.140 [27-78], 3.40.50.300 [97-303]","2","283","30693.50"
"2J7P","D","1.97","3.40.50.300 [97-303]","2","283","30693.50"
"2J7P","B","1.97","3.40.50.300 [91-281], 1.20.120.140 [4-90]","1","294","32300.40"
"2J7P","A","1.97","1.20.120.140 [3-90], 3.40.50.300 [91-281]","1","294","32300.40"
"2J7Q","A","1.80","","1","232","25677.30"
"2J8C","H","1.87","4.10.540.10 [12-116], 3.90.50.10 [117-249]","1","260","28066.30"
"2J98","A","1.80","2.40.10.250 [9-108]","1","109","12028.80"
"2J9N","A","1.50","2.40.10.10 [28-117], 2.40.10.10 [226-237], 2.40.10.10 [16-27], 2.40.10.10 [118-225]","1","223","23324.30"
"2J9U","B","2.00","","2","76","8315.31"
"2J9U","A","2.00","","1","96","11151.80"
"2J9U","D","2.00","","2","76","8315.31"
"2J9U","C","2.00","","1","96","11151.80"
"2JE6","A","1.60","3.30.230.70 [12-275]","1","277","30422.80"
"2JE6","I","1.60","","3","251","28225.30"
"2JE6","B","1.60","3.30.230.70 [26-241]","2","250","27764.10"
"2JGB","A","1.70","3.30.760.10 [53-228]","1","195","22499.80"
"2JJS","D","1.85","2.60.40.10 [2-116]","2","127","14518.30"
"2JJS","C","1.85","2.60.40.10 [2-116]","2","127","14518.30"
"2JJS","B","1.85","2.60.40.10 [5-115]","1","126","13919.60"
"2JJS","A","1.85","2.60.40.10 [5-115]","1","126","13919.60"
"2JKG","A","1.89","","1","179","20102.00"
"2KIN","B","2.00","","2","100","11169.80"
"2KIN","A","2.00","3.40.850.10 [2-239]","1","238","27072.90"
"2LTN","C","1.70","2.60.120.200 [1-181]","1","181","20001.10"
"2LTN","B","1.70","","2","52","5596.09"
"2LTN","A","1.70","2.60.120.200 [1-181]","1","181","20001.10"
"2LTN","D","1.70","","2","52","5596.09"
"2NNU","A","1.59","1.10.287.30 [0-101], 2.170.200.10 [102-200]","1","205","23815.80"
"2NPT","A","1.75","3.10.20.90 [17-108]","1","106","11941.50"
"2NPT","D","1.75","3.10.20.90 [43-122]","2","100","11535.40"
"2NPT","C","1.75","3.10.20.90 [17-108]","1","106","11941.50"
"2NPT","B","1.75","3.10.20.90 [43-123]","2","100","11535.40"
"2NQD","A","1.75","","1","109","11923.30"
"2O02","B","1.50","1.20.190.20 [1-230]","1","230","26316.80"
"2O02","A","1.50","1.20.190.20 [1-230]","1","230","26316.80"
"2O2V","B","1.83","3.10.20.90 [44-123]","2","90","10484.90"
"2O4J","A","1.74","1.10.565.10 [123-421]","1","292","32983.70"
"2O4X","B","2.00","2.30.30.140 [680-760]","2","91","10388.70"
"2O9V","A","1.63","2.30.30.40 [818-884]","1","67","7698.71"
"2ODE","D","1.90","1.10.167.10 [78-157]","2","141","16618.90"
"2ODE","B","1.90","1.10.167.10 [78-157]","2","141","16618.90"
"2OMZ","B","1.60","2.60.40.60 [-3-101]","2","105","11523.00"
"2OOB","A","1.90","","1","52","5656.38"
"2OPL","A","1.50","3.30.300.20 [4-175]","1","187","20778.90"
"2OQ1","A","1.90","3.30.505.10 [5-113], 1.10.930.10 [114-158], 3.30.505.10 [159-258]","1","254","28906.70"
"2OTU","E","1.68","2.60.40.10 [0-114]","1","115","12460.90"
"2OTU","C","1.68","2.60.40.10 [0-114]","1","115","12460.90"
"2OTU","A","1.68","2.60.40.10 [0-114]","1","115","12460.90"
"2OTU","G","1.68","2.60.40.10 [0-114]","1","115","12460.90"
"2OX5","C","1.98","","1","108","11781.00"
"2OX5","F","1.98","","2","115","11436.60"
"2OX5","B","1.98","","2","115","11436.60"
"2OX5","E","1.98","","1","108","11781.00"
"2OX5","Z","1.98","","1","108","11781.00"
"2OX5","A","1.98","","1","108","11781.00"
"2OX5","D","1.98","","2","115","11436.60"
"2OX5","Y","1.98","","2","115","11436.60"
"2OY2","A","1.50","3.40.390.10 [86-242]","1","158","17612.10"
"2OY2","F","1.50","3.40.390.10 [86-242]","1","158","17612.10"
"2OZN","B","1.60","","2","140","15510.00"
"2OZN","A","1.60","","1","165","17486.30"
"2P1M","A","1.80","","1","160","17876.00"
"2P43","A","1.65","3.10.130.10 [1-124]","1","124","13708.30"
"2P58","A","1.80","","1","65","7673.24"
"2P58","C","1.80","","3","116","13313.70"
"2P58","B","1.80","","2","86","9463.41"
"2PA8","L","1.76","3.30.1360.10 [1-92]","2","92","10298.80"
"2PA8","D","1.76","3.30.1360.10 [2-37], 3.30.1360.10 [157-166], 3.30.1360.10 [224-265], 2.170.120.12 [38-156], 3.30.70.20 [167-223]","1","265","30330.20"
"2PBD","P","1.50","3.30.450.30 [1-139]","2","139","14940.00"
"2PBK","B","1.73","3.20.16.10 [3-230]","1","228","25027.70"
"2PBK","A","1.73","3.20.16.10 [3-230]","1","228","25027.70"
"2PI2","C","2.00","2.40.50.140 [43-173]","1","270","29276.80"
"2PI2","F","2.00","2.40.50.140 [2-120]","2","142","16117.50"
"2PI2","B","2.00","2.40.50.140 [42-174]","1","270","29276.80"
"2PI2","E","2.00","2.40.50.140 [2-118]","2","142","16117.50"
"2PI2","H","2.00","2.40.50.140 [2-118]","2","142","16117.50"
"2PI2","A","2.00","2.40.50.140 [41-176]","1","270","29276.80"
"2PI2","D","2.00","2.40.50.140 [43-174]","1","270","29276.80"
"2PI2","G","2.00","2.40.50.140 [2-119]","2","142","16117.50"
"2PQR","A","1.88","","1","129","15128.30"
"2PQR","D","1.88","","2","64","7147.99"
"2PQR","C","1.88","","2","64","7147.99"
"2PQR","B","1.88","1.25.40.10 [10-127]","1","129","15128.30"
"2PTT","A","1.63","","1","110","12940.70"
"2PTT","B","1.63","2.60.40.10 [2-109]","2","112","12526.90"
"2PU9","B","1.65","2.30.30.50 [1-74]","2","74","8455.66"
"2PU9","A","1.65","3.90.460.10 [8-117]","1","110","12541.30"
"2PU9","C","1.65","3.40.30.10 [11-121]","3","111","12360.40"
"2PW8","I","1.84","2.70.10.10 [1-65]","3","65","7069.57"
"2Q0O","A","2.00","","1","236","26324.50"
"2Q0O","D","2.00","1.10.287.160 [17-103]","2","107","12215.30"
"2Q0O","C","2.00","1.10.287.160 [17-102]","2","107","12215.30"
"2Q0O","B","2.00","","1","236","26324.50"
"2Q5A","A","1.50","3.10.50.40 [54-163], 2.20.70.10 [7-37]","1","167","18524.50"
"2Q5W","E","2.00","3.90.1170.40 [1-137]","1","149","17512.80"
"2Q5W","D","2.00","3.10.20.30 [1-77]","2","77","8878.09"
"2Q86","C","1.85","2.60.40.10 [110-192], 2.60.40.10 [0-109]","1","229","25399.40"
"2Q86","A","1.85","2.60.40.10 [0-109], 2.60.40.10 [110-191]","1","229","25399.40"
"2QAC","A","1.70","1.10.238.10 [140-204]","1","146","16701.50"
"2QBW","A","1.80","2.60.40.10 [104-195], 2.30.42.10 [1-97]","1","195","20959.10"
"2QC1","B","1.94","","2","212","24729.00"
"2QHO","D","1.85","","2","53","5819.52"
"2QHO","B","1.85","","2","53","5819.52"
"2QHO","H","1.85","","2","53","5819.52"
"2QHO","F","1.85","","2","53","5819.52"
"2QIY","A","1.69","3.10.450.50 [3-143]","1","154","17675.10"
"2QIY","B","1.69","3.10.450.50 [4-145]","1","154","17675.10"
"2QKH","A","1.90","","2","135","15391.00"
"2QLG","A","1.80","","1","226","25606.90"
"2QM6","D","1.60","","2","188","20410.20"
"2QM6","B","1.60","","2","188","20410.20"
"2QOS","C","1.81","2.40.128.20 [10-182]","1","173","19171.60"
"2QQC","D","2.00","3.50.20.10 [54-165]","2","112","12226.40"
"2QQC","G","2.00","3.30.60.30 [13-52]","1","53","5566.26"
"2QQC","J","2.00","3.50.20.10 [54-165]","2","112","12226.40"
"2QQC","C","2.00","3.30.60.30 [6-52]","1","53","5566.26"
"2QQC","F","2.00","3.50.20.10 [54-165]","2","112","12226.40"
"2QQC","I","2.00","3.30.60.30 [13-52]","1","53","5566.26"
"2QQC","L","2.00","3.50.20.10 [54-165]","2","112","12226.40"
"2QQC","B","2.00","3.50.20.10 [54-165]","2","112","12226.40"
"2QQC","E","2.00","3.30.60.30 [3-52]","1","53","5566.26"
"2QQC","H","2.00","3.50.20.10 [54-165]","2","112","12226.40"
"2QQC","K","2.00","3.30.60.30 [13-52]","1","53","5566.26"
"2QQC","A","2.00","3.30.60.30 [7-52]","1","53","5566.26"
"2QQD","C","2.00","3.50.20.10 [7-165]","3","166","17819.70"
"2QQD","H","2.00","3.50.20.10 [13-165]","3","166","17819.70"
"2QQD","G","2.00","3.50.20.10 [14-165]","3","166","17819.70"
"2QQD","F","2.00","3.50.20.10 [14-165]","3","166","17819.70"
"2QWO","B","1.70","1.10.287.110 [813-904]","2","92","10747.50"
"2R25","B","1.70","3.40.50.2300 [1086-1218]","2","133","14950.30"
"2R25","A","1.70","1.20.120.160 [2-167]","1","167","19187.70"
"2REM","A","1.90","3.40.30.10 [4-193]","1","193","21333.30"
"2REM","C","1.90","3.40.30.10 [3-193]","1","193","21333.30"
"2REM","B","1.90","3.40.30.10 [4-190]","1","193","21333.30"
"2RHK","A","1.95","","1","140","15964.40"
"2RHK","D","1.95","","2","72","8570.84"
"2RHK","C","1.95","","2","72","8570.84"
"2RHK","B","1.95","","1","140","15964.40"
"2RKY","C","1.80","2.10.70.10 [152-197]","1","93","10534.70"
"2RKY","A","1.80","2.10.70.10 [152-197]","1","93","10534.70"
"2SEC","I","1.80","3.30.10.10 [21-83]","2","70","8099.02"
"2SIC","I","1.80","3.30.350.10 [7-113]","2","107","10940.30"
"2TEC","E","1.98","3.40.50.200 [1-279]","1","279","28384.90"
"2UVP","A","1.70","","1","186","21639.90"
"2UWJ","E","2.00","","1","70","7631.67"
"2UYN","A","1.60","3.30.1330.40 [2-128]","1","129","14111.10"
"2V3S","B","1.70","3.10.20.90 [432-527]","1","96","10319.60"
"2V3S","A","1.70","3.10.20.90 [432-527]","1","96","10319.60"
"2V6A","K","1.50","3.30.190.10 [2-140]","2","140","16283.80"
"2V6A","N","1.50","3.30.190.10 [2-140]","2","140","16283.80"
"2V6A","J","1.50","3.30.190.10 [2-140]","2","140","16283.80"
"2V6A","M","1.50","3.30.190.10 [2-140]","2","140","16283.80"
"2V6A","P","1.50","3.30.190.10 [2-140]","2","140","16283.80"
"2V6A","I","1.50","3.30.190.10 [2-140]","2","140","16283.80"
"2V6A","L","1.50","3.30.190.10 [2-140]","2","140","16283.80"
"2V6A","O","1.50","3.30.190.10 [2-140]","2","140","16283.80"
"2V6X","B","1.98","","2","54","5772.05"
"2V87","B","1.80","","1","82","9360.50"
"2V87","A","1.80","","1","82","9360.50"
"2V9T","A","1.70","2.60.40.10 [60-166]","1","117","13103.70"
"2V9T","B","1.70","3.80.10.10 [269-478]","2","220","24676.60"
"2VGX","A","1.95","1.25.40.10 [21-154]","1","148","16655.00"
"2VJ0","A","1.60","3.30.310.10 [826-938], 2.60.40.1230 [702-825]","1","250","28048.00"
"2VL2","A","1.92","3.40.30.10 [0-161]","1","172","18209.80"
"2VL2","B","1.92","3.40.30.10 [1-161]","1","172","18209.80"
"2VLQ","B","1.60","3.90.540.10 [1-134]","2","134","15043.90"
"2VLQ","A","1.60","1.10.1200.20 [1-84]","1","86","9592.50"
"2VN5","C","1.90","2.60.40.680 [2-152]","1","151","15557.60"
"2VN5","B","1.90","","2","66","7285.25"
"2VN5","A","1.90","2.60.40.680 [11-152]","1","151","15557.60"
"2VN5","D","1.90","","2","66","7285.25"
"2VNF","C","1.76","3.30.40.10 [191-244]","1","60","6937.94"
"2VNF","A","1.76","3.30.40.10 [195-244]","1","60","6937.94"
"2VPB","A","1.59","3.30.40.10 [341-397]","1","65","6982.75"
"2VPG","C","1.60","3.30.40.10 [336-398]","1","63","6759.61"
"2VPG","A","1.60","3.30.40.10 [338-398]","1","63","6759.61"
"2VT1","B","2.00","3.40.1690.10 [258-338]","2","93","10890.50"
"2VT1","A","2.00","","1","52","6394.36"
"2VU8","E","1.80","2.40.10.10 [16-27], 2.40.10.10 [121-232], 2.40.10.10 [28-120], 2.40.10.10 [233-242]","1","224","22200.50"
"2VWF","A","1.58","2.30.30.40 [1-56]","1","58","6612.23"
"2VXQ","A","1.90","2.60.40.760 [3-94]","1","96","10828.10"
"2VZG","B","1.80","1.10.418.10 [247-372]","2","131","15155.40"
"2W0P","A","1.90","2.60.40.10 [2236-2328]","1","94","9705.67"
"2W0P","B","1.90","2.60.40.10 [2236-2329]","1","94","9705.67"
"2W3O","B","1.85","2.60.200.20 [8-108]","1","113","12117.60"
"2W3O","A","1.85","2.60.200.20 [8-107]","1","113","12117.60"
"2W56","A","1.90","","1","147","17022.20"
"2W83","D","1.93","1.20.5.1000 [391-452]","2","77","8878.16"
"2W83","C","1.93","1.20.5.1000 [386-452]","2","77","8878.16"
"2WAS","E","1.90","3.90.470.20 [1767-1886]","1","122","12784.30"
"2WAS","D","1.90","3.90.470.20 [1767-1885]","1","122","12784.30"
"2WAS","A","1.90","3.90.470.20 [1767-1886]","1","122","12784.30"
"2WH6","A","1.50","1.10.437.10 [2-158]","1","173","19848.40"
"2WJN","L","1.86","1.20.85.10 [1-165], 1.20.85.10 [166-273]","3","274","30600.30"
"2WJN","H","1.86","3.90.50.10 [120-258], 4.10.540.10 [2-119]","2","258","28557.50"
"2WPV","B","1.99","","2","59","6634.78"
"2WPV","H","1.99","","2","59","6634.78"
"2WPV","F","1.99","","2","59","6634.78"
"2WPV","D","1.99","","2","59","6634.78"
"2WUH","A","1.60","2.60.120.260 [26-189]","1","178","20108.60"
"2WWK","T","1.70","2.60.40.10 [0-98]","2","102","10981.20"
"2WWK","O","1.70","2.60.40.10 [8-106]","1","109","11135.60"
"2WWX","B","1.50","","2","217","24293.80"
"2WY3","D","1.80","","2","158","17735.10"
"2WY3","B","1.80","","2","158","17735.10"
"2WY8","Q","1.70","","2","80","9256.58"
"2X4W","A","1.50","2.30.30.160 [1088-1204]","1","132","15249.60"
"2X7R","E","2.00","","2","63","7825.54"
"2X7R","A","2.00","","1","62","6837.86"
"2X7R","D","2.00","","1","62","6837.86"
"2X7R","C","2.00","1.10.287.210 [624-681]","2","63","7825.54"
"2X7R","N","2.00","","1","62","6837.86"
"2X7R","B","2.00","","2","63","7825.54"
"2X83","C","1.70","1.10.375.10 [401-546]","1","146","16204.60"
"2X83","A","1.70","1.10.375.10 [401-546]","1","146","16204.60"
"2XAD","C","1.70","","1","273","30271.00"
"2XAD","B","1.70","","1","273","30271.00"
"2XAD","A","1.70","","1","273","30271.00"
"2XAD","D","1.70","","1","273","30271.00"
"2XFG","B","1.68","2.60.40.710 [459-618]","2","176","19581.60"
"2XG5","A","2.00","2.60.40.360 [1-121], 2.60.40.1070 [122-213]","1","218","24589.90"
"2XG5","B","2.00","2.60.40.1090 [36-173]","2","173","19297.70"
"2XGY","A","1.80","1.10.375.10 [1-137]","1","149","16511.80"
"2XPP","A","1.74","","1","145","16424.10"
"2XWT","C","1.90","3.80.10.10 [24-257]","3","239","26943.80"
"2XXM","A","1.65","","1","75","8455.63"
"2XXN","A","1.60","","1","143","16814.80"
"2XYG","A","1.54","3.40.50.1460 [29-174]","1","146","16524.80"
"2XYQ","A","2.00","","1","290","32695.50"
"2XZE","B","1.75","","1","146","17162.60"
"2XZE","A","1.75","","1","146","17162.60"
"2Y3N","C","1.90","2.60.40.680 [3-173]","1","181","20030.50"
"2Y3N","B","1.90","","2","71","7540.63"
"2Y3N","A","1.90","2.60.40.680 [3-175]","1","181","20030.50"
"2Y3N","D","1.90","","2","71","7540.63"
"2Y8N","D","1.75","","2","86","9353.63"
"2Y8N","B","1.75","","2","86","9353.63"
"2YBF","A","2.00","3.10.110.10 [3-152]","1","152","17328.30"
"2YC1","F","1.90","3.30.30.10 [1-65]","3","66","7607.73"
"2YC1","C","1.90","3.30.30.10 [1-65]","3","66","7607.73"
"2YLE","A","1.80","","1","229","25838.80"
"2YNT","C","1.60","","1","233","25619.80"
"2YNT","A","1.60","","1","233","25619.80"
"2YPV","A","1.80","","1","253","26839.00"
"2YVJ","B","1.90","2.102.10.10 [2-107]","2","109","11926.50"
"2Z30","B","1.65","3.30.70.80 [5-69]","2","65","7084.43"
"2Z3Q","A","1.85","","1","119","13258.00"
"2Z3Q","D","1.85","","2","107","11496.10"
"2Z3Q","C","1.85","","1","119","13258.00"
"2Z3Q","B","1.85","","2","107","11496.10"
"2Z5B","B","1.96","","2","179","20080.60"
"2Z5B","A","1.96","","1","151","16876.50"
"2Z7F","I","1.70","4.10.75.10 [58-107]","2","50","5522.74"
"2Z8P","A","1.80","3.30.2430.10 [25-44], 3.30.2430.10 [67-221], 3.30.2430.10 [222-241]","1","241","27623.00"
"2ZA4","B","1.58","3.30.370.10 [0-89]","2","90","10244.60"
"2ZA4","A","1.58","3.10.450.30 [3-110]","1","110","12340.60"
"2ZA4","D","1.58","3.30.370.10 [0-89]","2","90","10244.60"
"2ZA4","C","1.58","3.10.450.30 [2-110]","1","110","12340.60"
"2ZD7","B","1.85","","1","264","30656.10"
"2ZD7","A","1.85","","1","264","30656.10"
"2ZNV","D","1.60","","1","178","19916.20"
"2ZNV","A","1.60","","1","178","19916.20"
"2ZON","G","1.70","1.10.760.10 [7-87]","2","87","8761.03"
"2ZS0","C","1.60","1.10.490.10 [1-147]","3","147","15621.30"
"2ZS0","B","1.60","1.10.490.10 [1-142]","2","142","15327.10"
"2ZS0","A","1.60","1.10.490.10 [1-140]","1","140","15188.90"
"2ZS0","D","1.60","1.10.490.10 [1-145]","4","145","14693.30"
"2ZSI","B","1.80","","2","110","12279.50"
"2ZYZ","A","1.70","3.40.1350.10 [1-93]","1","116","13321.40"
"2ZYZ","D","1.70","3.40.1170.20 [1-88], 3.40.1350.10 [89-183]","2","183","20806.20"
"2ZYZ","C","1.70","3.40.1350.10 [1-96]","1","116","13321.40"
"2ZYZ","B","1.70","3.40.1170.20 [1-88], 3.40.1350.10 [89-183]","2","183","20806.20"
"2ZZD","D","1.78","2.30.30.50 [7-126]","1","126","14507.20"
"2ZZD","G","1.78","2.30.30.50 [7-126]","1","126","14507.20"
"2ZZD","J","1.78","2.30.30.50 [7-126]","1","126","14507.20"
"2ZZD","C","1.78","3.90.330.10 [23-239]","3","243","27635.40"
"2ZZD","F","1.78","3.90.330.10 [23-240]","3","243","27635.40"
"2ZZD","I","1.78","3.90.330.10 [23-239]","3","243","27635.40"
"2ZZD","L","1.78","3.90.330.10 [24-239]","3","243","27635.40"
"2ZZD","B","1.78","","2","157","18065.50"
"2ZZD","E","1.78","","2","157","18065.50"
"2ZZD","H","1.78","","2","157","18065.50"
"2ZZD","K","1.78","","2","157","18065.50"
"2ZZD","A","1.78","2.30.30.50 [8-126]","1","126","14507.20"
"3A1G","A","1.70","","1","80","9675.50"
"3A1G","C","1.70","","1","80","9675.50"
"3A4U","B","1.84","1.10.238.10 [66-143]","2","143","16316.80"
"3A8K","E","1.95","2.40.50.100 [2-127]","2","129","14009.40"
"3A8K","F","1.95","2.40.50.100 [2-127]","2","129","14009.40"
"3AA0","B","1.70","","2","244","27473.10"
"3AA0","A","1.70","","1","286","33001.80"
"3ABD","A","1.90","3.30.900.10 [12-211]","1","227","26101.20"
"3ABD","Y","1.90","","2","52","5632.32"
"3ABD","X","1.90","","2","52","5632.32"
"3ABD","B","1.90","3.30.900.10 [10-211]","1","227","26101.20"
"3AGY","B","1.85","","1","181","20481.90"
"3AGY","A","1.85","","1","181","20481.90"
"3AJV","A","1.70","","1","190","20770.80"
"3AJV","D","1.70","3.40.1170.20 [9-93], 3.40.1350.10 [94-186]","2","186","20561.50"
"3AJV","C","1.70","","1","190","20770.80"
"3AJV","B","1.70","3.40.1350.10 [94-186], 3.40.1170.20 [7-93]","2","186","20561.50"
"3AON","B","2.00","3.40.50.10580 [2-101]","2","115","12783.10"
"3AON","A","2.00","","1","217","25588.00"
"3AU4","B","1.90","","2","63","6723.33"
"3AX2","G","1.90","1.20.960.10 [61-126]","1","73","8022.18"
"3AX2","E","1.90","1.20.960.10 [62-126]","1","73","8022.18"
"3AX2","C","1.90","1.20.960.10 [57-126]","1","73","8022.18"
"3AX2","A","1.90","1.20.960.10 [57-126]","1","73","8022.18"
"3B08","D","1.70","","1","152","17135.70"
"3B08","H","1.70","","2","64","7277.15"
"3B08","B","1.70","","2","64","7277.15"
"3B08","G","1.70","","1","152","17135.70"
"3B08","K","1.70","","2","64","7277.15"
"3B08","A","1.70","","1","152","17135.70"
"3B08","E","1.70","","2","64","7277.15"
"3B08","J","1.70","","1","152","17135.70"
"3B5N","H","1.60","1.20.5.110 [588-650]","4","64","7349.19"
"3B5N","K","1.60","1.20.5.110 [434-498]","3","70","7685.77"
"3B5N","A","1.60","1.20.5.110 [26-86]","1","61","6771.59"
"3B5N","D","1.60","1.20.5.110 [587-650]","4","64","7349.19"
"3B5N","G","1.60","1.20.5.110 [431-499]","3","70","7685.77"
"3B5N","J","1.60","1.20.5.110 [191-254]","2","69","7797.67"
"3B5N","C","1.60","1.20.5.110 [431-500]","3","70","7685.77"
"3B5N","F","1.60","1.20.5.110 [189-256]","2","69","7797.67"
"3B5N","I","1.60","1.20.5.110 [29-86]","1","61","6771.59"
"3B5N","L","1.60","1.20.5.110 [588-649]","4","64","7349.19"
"3B5N","B","1.60","1.20.5.110 [189-257]","2","69","7797.67"
"3B5N","E","1.60","1.20.5.110 [29-86]","1","61","6771.59"
"3B80","B","1.50","2.40.70.10 [101-199]","1","99","10726.60"
"3B80","A","1.50","2.40.70.10 [1-99]","1","99","10726.60"
"3BC1","E","1.80","3.40.50.300 [4-187]","1","195","22214.00"
"3BC1","B","1.80","","2","59","7009.93"
"3BC1","A","1.80","3.40.50.300 [4-188]","1","195","22214.00"
